id,url,status_code,latency,extract_method,page_type,content_length
182,https://www.northernair.ca/history.htm,200,1.51,trafilatura,html,4887
183,https://mypharmavision.com/career/10-essential-skills-every-pharmacist-must-have/,200,1.3,trafilatura,html,3774
184,https://developer.hashicorp.com/vault/docs/secrets/databases/couchbase,200,1.77,trafilatura,docs,3529
185,https://jamanetwork.com/journals/jamasurgery/fullarticle/2808134,200,13.63,Selenium,html,718
186,https://www.espn.com/soccer/story/_/id/40490059/ranking-top-25-men-soccer-players-21st-century,200,2.06,trafilatura,html,21901
187,https://us.bizay.com/en-us/iridescent-non-woven-shopper-tote?id=386073413&productGroupId=1447&indexManagementId=3&queryId=287f43dda66b2771b58012ec63599406&objectId=P29421_PCNA_IRIDESCENTNON_WOVENSHOPPERTOTE_386073413&position=3,200,1.24,trafilatura,html,1386
188,https://www.cabinetnow.com/base-cabinets/?page=2&srsltid=AfmBOop6x-YmInHQRb5KPQ98jCu0t2n8iGBfxvuqji_RKV6Nm2idJZrB,200,15.11,Selenium,html,1791
189,https://www.westernvawater.org/learn/education-outreach,200,15.85,Selenium,html,1942
190,http://docs.cyberark.com/pam-self-hosted/latest/en/content/release%20notes/rn-releasenotesarchive.htm,200,2.42,trafilatura,html,318
191,https://www.deribit.com/kb/8-july-2021,200,10.76,Selenium,html,50000
192,https://landellsclinic.ca/contact/,200,11.21,Selenium,html,1622
193,https://www.embarkwithus.com/resources/case-studies/presidio-petroleum,200,1.63,trafilatura,html,6128
194,https://www.veed.io/ms-MY/peralatan/penjana-sari-kata-auto-dalam-talian/sari-kata-thai,200,1.29,trafilatura,html,3726
195,https://info.buy.nsw.gov.au/schemes/ict-services-scheme,200,2.29,trafilatura,html,49604
196,https://jobs.ea.com/en_US/careers/JobDetail/Mobile-Technical-Director/208700,200,2.17,trafilatura,html,2367
197,https://www.mp.pl/lekarz/maria.pacyna-szmolke,200,1.3,trafilatura,html,362
198,https://mawby.wine/product/talismon-,200,1.65,trafilatura,html,303
199,https://devforum.roblox.com/t/stuttering-connect-20-coming-soon/3676159/1,200,1.46,trafilatura,html,601
200,http://brightops.com,200,1.69,trafilatura,html,611
201,https://developingeconomics.org/2024/06/24/post-conflict-recovery-and-trade-explainer/,200,1.84,trafilatura,html,31776
202,https://www.repvue.com/companies/CoverMyMeds,200,1.96,trafilatura,html,1514
203,https://journals.uclpress.co.uk/lre/article/pubid/LRE-20-48/,200,2.43,trafilatura,html,317
204,https://botpress.com/docs/zapier,200,14.91,Selenium,docs,759
205,https://www.eur.nl/master/economics-markets-and-organisations/inschrijven,200,1.89,trafilatura,html,200
206,https://www.gourmetpro.co/blog/uk-top-food-beverage-distributors,200,1.42,trafilatura,article,12014
207,https://www.pharmavite.com/news/2023/04/megafood-is-granted-plastic-neutral-certification-through-repurpose-global-the-worlds-leading-plastic-action-platform/,200,13.7,Selenium,article,4157
208,https://www.akiya-mart.com/city/tokyo,200,12.82,Selenium,spa,943
209,https://kentsportswear.com/products/kent-state-basketball-7,200,0.78,trafilatura,html,780
210,https://altvia.com/brie-aletto-titan-100-recipient-2024/,200,15.23,Selenium,html,3094
211,https://www.crozerhealth.org/redirect.aspx?id=8740,404,11.8,Selenium,error,460
212,https://halfwheel.com/brick-house-ciento-por-ciento-slated-for-taa-2019/296566,200,1.83,trafilatura,html,1188
213,https://www.okx.com/convert/aevo-to-huf,200,12.34,Selenium,spa,8773
214,https://unitedcallcenters.hu/press-room/kenyai-magyar-virtualis-uzleti-forum-a-united-call-centers-reszvetelevel,200,2.95,trafilatura,html,2972
215,https://www.recruiter.com/recruiting/video-games-gave-millennials-a-career-advantage-heres-why/,200,1.66,trafilatura,html,6270
216,https://books.openedition.org/pur/12467?lang=en,200,1.57,trafilatura,html,1068
217,http://digitalocean.com,200,1.57,trafilatura,html,1247
218,https://www.acunitparts.com/46600405/,200,4.08,trafilatura,html,1530
219,https://www.healthline.com/health/laser-treatment-for-spider-veins,200,1.01,trafilatura,html,7587
220,https://www.prevarian.com/,200,0.91,trafilatura,html,1291
221,https://www.nationalgeographic.es/viaje-y-aventuras/albania,200,12.63,Selenium,html,14745
222,https://medlineplus.gov/fluidandelectrolytebalance.html,200,1.53,trafilatura,html,6403
223,https://thinkfcm.com/our-team/jonathan-edwards/,200,13.23,Selenium,html,1076
224,https://www.fnbmwc.com/,200,2.02,trafilatura,html,579
225,https://www.wine-searcher.com/find/repris+right+bank/2015?Xcurrencycode=USD&Xsavecurrency=Y,403,9.8,Selenium,error,110
226,https://www.aefinfo.fr/depeche/714488-un-projet-de-decret-relatif-a-la-prime-jop-pour-les-pompiers-sera-presente-en-csfpt-extraordinaire,200,7.28,trafilatura,html,898
227,https://slickdeals.net/click?au=ea3969325f38418f8a610f877678e4de&prop=diavail-true|dincp-4|dinpd-11|dipgavail-true&pv=5d8473ded6cc11efa84fca9ab4ca0da8&sdtid=18066673&tid=18066673&trd=Get+Deal+at+Target,403,9.47,Selenium,error,329
228,http://cartercpa.net,200,1.39,trafilatura,html,1755
229,https://www.loumalnatis.com/the-history-of-lous,200,2.94,trafilatura,html,11893
230,https://www.autodesk.com/support/technical/article/caas/sfdcarticles/sfdcarticles/System-requirements-for-Autodesk-Revit-2020-products.html,200,10.45,trafilatura,html,50000
231,https://help.justcall.io/en/collections/308523-sales-dialer,200,7.55,trafilatura,html,4163
232,http://finadorm.com,200,4.81,trafilatura,html,508
233,https://docs.monogame.net/articles/contributing,200,0.69,trafilatura,html,9143
234,https://ui.kws3.media/v4/?path=/docs/forms-timepicker--docs,200,1.67,trafilatura,docs,2258
235,http://infimer.com,200,4.41,trafilatura,html,544
236,https://www.fluidsecure.com/gallery/fedex-2/,200,1.91,trafilatura,html,795
237,https://www.fastbackgroundcheck.com/559-627-4044,403,9.15,Selenium,error,460
238,https://www.pflanzen-koelle.de/kirschlorbeer-caucasica-3er-set-hoehe-50-60-cm-topf-je-4-6-liter-0410950489/,200,15.69,Selenium,html,2997
239,https://softwarebude.at/blog/vorteile-linzer-unternehmen,200,0.95,trafilatura,article,3261
240,https://www.wjx.cn/xz/264619429.aspx,200,4.66,trafilatura,html,374
241,https://www.ingersollrand.com/en-us/air-compressor/oil-flooded-ac/r-series-90-160-kw-vsd-integrated-as,200,3.17,trafilatura,html,1737
242,https://globalalts.com/private-equity/report-2022-private-equity-insights/,200,2.62,trafilatura,html,1174
243,https://www.immobilienscout24.de/expose/150498632,200,10.07,Selenium,html,851
244,https://www.marketwatch.com/investing/stock/nsc?mod=taxwatch,200,1.74,trafilatura,html,4755
245,https://www.amazon.co.uk/MSI-MPG-Trident-11TC-2283UK-Gaming/dp/B09NRVVZ63,200,2.83,trafilatura,html,2468
246,https://docs.pantheon.io/multizone-failover,200,12.49,Selenium,html,6176
247,https://www.parks.swiss/fr/les-parcs-suisses/vue-densemble/parc-jura-vaudois,200,1.95,trafilatura,html,2273
248,https://www.balance.vc/company,200,2.35,trafilatura,html,422
249,https://www.ahrtal.de/ahrwein,200,3.85,trafilatura,html,3133
